,theme,time
152977,autopsy,31897.0
152978,autopsy,79080.0
152979,autopsy,144482.0
152980,autopsy,43200.0
152981,autopsy,43200.0
152982,autopsy,928.0
152983,autopsy,14400.0
152984,autopsy,36000.0
152985,autopsy,2827.0
152986,autopsy,643.0
152987,autopsy,59940.0
152988,autopsy,10950.0
152989,autopsy,128760.0
152990,autopsy,30027.5
152991,autopsy,486570.0
152992,autopsy,6180.0
152993,autopsy,131460.0
152994,autopsy,81720.0
152995,autopsy,54503.0
152996,autopsy,353460.0
152997,autopsy,18060.0
152998,autopsy,22380.0
152999,autopsy,2160.0
153000,autopsy,1.0
153001,autopsy,13020.0
153002,autopsy,36000.0
153003,autopsy,10035.0
153004,autopsy,2377.0
153005,autopsy,180.0
153006,autopsy,34.0
153007,autopsy,1.0
153008,autopsy,609900.0
153009,autopsy,77199.0
153010,autopsy,92.0
153011,autopsy,14691.5
153012,autopsy,378840.0
153013,autopsy,2741.0
153014,autopsy,3.0
153015,autopsy,1122240.0
153016,autopsy,1050.0
153017,autopsy,300570.0
153018,autopsy,194687.75
153019,autopsy,9803.0
153020,autopsy,59947.0
153021,autopsy,24850.0
153022,autopsy,250230.0
153023,autopsy,48365.0
153024,autopsy,404243.3333333333
153025,autopsy,26400.0
153026,autopsy,346908.0
153027,autopsy,1260.0
153028,autopsy,1.0
153029,autopsy,14040990.0
153030,autopsy,6720.0
153031,autopsy,3240.0
153032,autopsy,3897063.0
153033,autopsy,36000.0
153034,autopsy,5400.0
153035,autopsy,3517.0
153036,autopsy,1200.0
153037,autopsy,7260.0
153038,autopsy,3140.0
153039,autopsy,423900.0
153040,autopsy,4260.0
153041,autopsy,6243.0
153042,autopsy,6520.0
153043,autopsy,6480.0
153044,autopsy,120.0
153045,autopsy,161940.0
153046,autopsy,39996.5
153047,autopsy,24545.0
153048,autopsy,744.0
153049,autopsy,1553311.5
153050,autopsy,1078433.5
153051,autopsy,56.0
153052,autopsy,771720.0
153053,autopsy,1122126.0
153054,autopsy,40040.0
153055,autopsy,226860.0
153056,autopsy,125244.0
153057,autopsy,7196.0
153058,autopsy,4260.0
153059,autopsy,43200.0
153060,autopsy,239549.5
153061,autopsy,3438303.0
153062,autopsy,129636.0
153063,autopsy,36000.0
153064,autopsy,67313.0
153065,autopsy,16680.0
153066,autopsy,63750.0
153067,autopsy,55560.0
153068,autopsy,963.0
153069,autopsy,60.0
153070,autopsy,60.0
153071,autopsy,898764.0
153072,autopsy,7600533.0
153073,autopsy,43200.0
153074,autopsy,36240.0
153075,autopsy,13380.0
153076,autopsy,17972.0
153077,autopsy,199215.0
153078,autopsy,318322.0
153079,autopsy,1.0
153080,autopsy,56350.0
153081,autopsy,52409.0
153082,autopsy,19859.75
153083,autopsy,46380.0
153084,autopsy,15540.0
153085,autopsy,23994.0
153086,autopsy,80985.0
153087,autopsy,36000.0
153088,autopsy,5301.5
153089,autopsy,1306.0
153090,autopsy,322.0
153091,autopsy,600.0
153092,autopsy,1260.0
153093,autopsy,1980.0
153094,autopsy,9720.0
153095,autopsy,167040.0
153096,autopsy,8750190.0
153097,autopsy,300.0
153098,autopsy,1071303.0
153099,autopsy,6731270.0
153100,autopsy,210321.0
153101,autopsy,597060.0
153102,autopsy,281377.0
153103,autopsy,2358828.0
153104,autopsy,549300.0
153105,autopsy,281520.0
153106,autopsy,18643.0
153107,autopsy,2188.0
153108,autopsy,18847470.666666668
153109,autopsy,32740.0
153110,autopsy,307808.0
153111,autopsy,17820.0
153112,autopsy,83370.0
153113,autopsy,510180.0
153114,autopsy,4468.0
153115,autopsy,2491200.0
153116,autopsy,28300.0
153117,autopsy,21720.0
153118,autopsy,522.0
153119,autopsy,47310.0
153120,autopsy,39600.0
153121,autopsy,74340.0
153122,autopsy,70947.6
153123,autopsy,25860.0
153124,autopsy,115733.33333333333
153125,autopsy,7200.0
153126,autopsy,77183.5
153127,autopsy,5488.0
153128,autopsy,16078.0
153129,autopsy,1920.0
153130,autopsy,21540.0
153131,autopsy,24200.0
153132,autopsy,14640.0
153133,autopsy,2414640.0
153134,autopsy,39600.0
153135,autopsy,397715.0
153136,autopsy,1260.0
153137,autopsy,10068.0
153138,autopsy,948840.0
153139,autopsy,36480.0
153140,autopsy,6091620.0
153141,autopsy,2031120.0
153142,autopsy,36000.0
153143,autopsy,32100.0
153144,autopsy,1596600.0
153145,autopsy,180.0
153146,autopsy,1543020.0
153147,autopsy,120.0
153148,autopsy,26970.0
153149,autopsy,394380.0
153150,autopsy,1.0
153151,autopsy,8676.0
153152,autopsy,11228280.0
153153,autopsy,1217333.0
153154,autopsy,12780.0
153155,autopsy,360.0
153156,autopsy,166620.0
153157,autopsy,606716.5
153158,autopsy,60.0
153159,autopsy,85920.0
153160,autopsy,128507.0
153161,autopsy,86340.0
153162,autopsy,129479.0
153163,autopsy,36000.0
153164,autopsy,2085.0
153165,autopsy,1.0
153166,autopsy,1.0
153167,autopsy,50820.0
153168,autopsy,80.0
153169,autopsy,5373.0
153170,autopsy,15096.0
153171,autopsy,8520.0
153172,autopsy,103.0
153173,autopsy,203.0
153174,autopsy,546420.0
153175,autopsy,67620.0
153176,autopsy,1446871.0
153177,autopsy,1003.0
153178,autopsy,12861780.0
153179,autopsy,540.0
153180,autopsy,8199.0
153181,autopsy,3480.0
153182,autopsy,22800.0
153183,autopsy,45600.0
153184,autopsy,13719.0
153185,autopsy,5520.0
153186,autopsy,12120.0
153187,autopsy,6053.0
153188,autopsy,9000.0
153189,autopsy,46950.0
153190,autopsy,876320.0
153191,autopsy,60.0
153192,autopsy,43200.0
153193,autopsy,339900.0
153194,autopsy,10210.0
153195,autopsy,2623267.0
153196,autopsy,1672671.0
153197,autopsy,14115.0
153198,autopsy,3064.0
153199,autopsy,486780.0
153200,autopsy,180.0
153201,autopsy,20100.0
153202,autopsy,233160.0
153203,autopsy,231151.0
153204,autopsy,7980.0
153205,autopsy,49200.0
153206,autopsy,1642.5
153207,autopsy,333.0
153208,autopsy,214.0
153209,autopsy,34.0
153210,autopsy,9886.0
153211,autopsy,164307.0
153212,autopsy,86474.0
153213,autopsy,2673.0
153214,autopsy,72060.0
153215,autopsy,45567.0
153216,autopsy,558.75
153217,autopsy,533516.0
153218,autopsy,401.0
153219,autopsy,15559.75
153220,autopsy,1260.0
153221,autopsy,60.0
153222,autopsy,3122.0
153223,autopsy,60.0
153224,autopsy,1504.6666666666667
153225,autopsy,26220.0
153226,autopsy,91020.0
153227,autopsy,6114100.0
153228,autopsy,368640.0
153229,autopsy,6360.0
153230,autopsy,13407240.0
153231,autopsy,13765800.0
153232,autopsy,33713.5
153233,autopsy,2039.0
153234,autopsy,691980.0
153235,autopsy,91196.0
153236,autopsy,41.0
153237,autopsy,2310.0
153238,autopsy,60.0
153239,autopsy,239943.0
153240,autopsy,94649.0
153241,autopsy,393.5
153242,autopsy,698.0
153243,autopsy,860125.0
153244,autopsy,260934.0
153245,autopsy,60.0
153246,autopsy,2057.0
153247,autopsy,5744040.0
153248,autopsy,10778.5
153249,autopsy,10081.0
