                           Multiple Comparison of Means - Tukey HSD, FWER=0.05                            
==========================================================================================================
              group1                            group2              meandiff p-adj  lower    upper  reject
                              add                          rounders  -7.5299   0.9 -59.0713 44.0116  False
                              add                              send  -8.2052   0.9 -48.5801 32.1698  False
                              add                            series  -5.6607   0.9 -55.0079 43.6865  False
                              add                              show  -4.6285   0.9 -64.1435 54.8865  False
                              add                               sit  -9.1267   0.9 -68.6417 50.3883  False
                              add                              site    1.055   0.9 -37.7749 39.8848  False
                              add                               sky  -8.2696   0.9 -62.9376 46.3984  False
                              add                          software  -0.4827   0.9 -44.4374  43.472  False
                              add                          solution  -5.7548   0.9 -43.4615  31.952  False
                              add                               sop  -6.6615   0.9  -49.119  35.796  False
                              add                             start  -8.7327   0.9 -68.2477 50.7823  False
                              add                         stateroom  -7.7258   0.9 -53.1811 37.7295  False
                              add                             steak   -0.725   0.9  -55.393  53.943  False
                              add                             stout  -8.8197   0.9 -63.4877 45.8483  False
                              add                            system  -3.9438   0.9 -40.4921 32.6046  False
                              add                              take  -5.0227   0.9 -54.3699 44.3245  False
                              add                           thymine  -7.1032   0.9 -54.8213  40.615  False
                              add                              time  -3.7525   0.9  -41.072 33.5669  False
                              add                             title  -7.2452   0.9 -46.9219 32.4314  False
                              add                             today   3.3839   0.9 -37.3632 44.1311  False
                              add                 topographic_point  -7.3739   0.9 -45.1746 30.4267  False
                              add                            travel  -0.1494   0.9 -38.9792 38.6805  False
                              add                            valley   2.2814   0.9 -47.0658 51.6286  False
                              add                           verdict  -8.8879   0.9  -56.606 38.8303  False
                              add                             video  -8.3276   0.9 -52.2823 35.6271  False
                              add                         vitamin_e   2.1063   0.9 -36.0838 40.2964  False
                              add                              week   -3.444   0.9 -39.9766 33.0886  False
                              add                              well   -9.137   0.9  -68.652 50.3779  False
                              add                              will  -1.4292   0.9 -38.3829 35.5244  False
                              add                          williams  -5.1367   0.9 -48.5153  38.242  False
                              add                              work  -8.6366   0.9 -57.9838 40.7106  False
                         addition                            advise   6.3703   0.9 -41.8423  54.583  False
                         addition                           african   0.7101   0.9 -53.9579 55.3781  False
                         addition                        aftertaste  13.0354   0.9 -29.6531  55.724  False
                         addition                             alley  -0.0413   0.9 -62.2836 62.2009  False
                         addition                          american   0.0528   0.9 -48.9191 49.0248  False
                         addition                           analyze    0.737   0.9 -56.8882 58.3621  False
                         addition                           approve   5.6231   0.9 -56.6191 67.8654  False
                         addition                           aquatic    9.258   0.9 -33.4779 51.9939  False
                         addition                               ask   1.4768   0.9 -41.9897 44.9433  False
                         addition                            attach   6.8904   0.9 -37.1216 50.9023  False
                         addition                        attachment   3.7885   0.9 -46.1164 53.6933  False
                         addition                            attend   1.6647   0.9 -55.9604 59.2898  False
                         addition                           autopsy   5.6843   0.9 -35.1085 46.4771  False
                         addition                                be   5.1802   0.9 -35.5788 45.9392  False
                         addition                            behold   7.5823   0.9 -36.1872 51.3517  False
                         addition                      belmont_park   2.8362   0.9  -54.789 60.4613  False
                         addition                              belt   1.0172   0.9 -56.6079 58.6423  False
                         addition                           bespeak    0.679   0.9 -51.9253 53.2833  False
                         addition                              best   3.6925   0.9 -43.3582 50.7433  False
                         addition                            boards   0.1665   0.9 -62.0757 62.4088  False
                         addition                     boundary_line   0.6242   0.9 -48.3477 49.5961  False
                         addition                            breach   0.5338   0.9 -61.7084 62.7761  False
                         addition                       bureaucracy   1.0027   0.9 -50.0765  52.082  False
                         addition                               buy   2.8736   0.9 -51.7943 57.5416  False
                         addition                             cable   6.2052   0.9 -35.4681 47.8785  False
                         addition                        california   5.0152   0.9 -36.0802 46.1106  False
                         addition                               can   1.3605   0.9 -42.5255 45.2465  False
                         addition                          capacity   2.7732   0.9 -44.2775  49.824  False
                         addition                            column   0.7642   0.9  -50.315 51.8434  False
                         addition                              come   0.3909   0.9 -54.2771 55.0589  False
                         addition                       communicate   1.2357   0.9 -61.0065  63.478  False
                         addition                           company   4.5143   0.9 -36.9235 45.9521  False
                         addition                       competition    7.694   0.9 -34.9945 50.3826  False
                         addition                           concern   0.0443   0.9 -57.5809 57.6694  False
                         addition                        conference   3.2351   0.9 -37.9647  44.435  False
                         addition                        conformity   1.1087   0.9 -61.1335  63.351  False
                         addition                         consensus  14.7646   0.9 -42.8605 72.3897  False
                         addition                          continue   0.2642   0.9 -61.9781 62.5064  False
                         addition                            cooler   3.1599   0.9 -51.5081 57.8279  False
                         addition                              crap   7.0395   0.9 -37.1089 51.1879  False
                         addition                           current   0.1974   0.9 -62.0449 62.4396  False
                         addition                              data   5.9277   0.9 -34.9128 46.7682  False
                         addition                               day    2.355   0.9 -39.4646 44.1746  False
                         addition                          deadline   2.7971   0.9 -48.2821 53.8763  False
                         addition                              deal   6.8285   0.9 -34.4156 48.0725  False
                         addition                              deem   0.4709   0.9 -44.8169 45.7588  False
                         addition                       delinquency   2.9644   0.9 -38.7304 44.6593  False
                         addition                         democracy   4.0195   0.9 -47.0597 55.0987  False
                         addition                            desire   3.1154   0.9 -41.1814 47.4122  False
                         addition                       development   9.3853   0.9 -32.1095 50.8801  False
                         addition                           diamond   31.053   0.9 -31.1893 93.2953  False
                         addition                       diamondback   1.9889   0.9 -47.9159 51.8937  False
                         addition                              dick   1.7601   0.9 -45.2906 48.8108  False
                         addition                      distribution   7.5036   0.9 -45.1007 60.1079  False
                         addition                 district_attorney   0.6683   0.9 -44.1633 45.4999  False
                         addition                            easter   1.0876   0.9 -56.5375 58.7128  False
                         addition                           edition   0.4327   0.9 -45.7702 46.6356  False
                         addition            electrical_engineering    3.604   0.9 -37.2897 44.4977  False
                         addition                   electronic_mail   5.7581   0.9 -36.4987 48.0149  False
                         addition                           embargo   0.8959   0.9 -46.1549 47.9466  False
                         addition                            energy    6.322   0.9 -34.8882 47.5322  False
                         addition                           envelop   2.8909   0.9 -59.3514 65.1331  False
                         addition                            europe    0.278   0.9 -57.3471 57.9032  False
                         addition                         execution  19.4211   0.9 -28.7915 67.6338  False
                         addition                       extenuation   0.8037   0.9 -48.1683 49.7756  False
                         addition     eysenck_personality_inventory   3.8498   0.9  -37.803 45.5025  False
                         addition federal_communications_commission   3.0008   0.9 -39.7849 45.7865  False
                         addition                          feedback   1.0353   0.9 -56.5898 58.6605  False
                         addition                         fiduciary   6.1352   0.9 -38.0132 50.2836  False
                         addition                              find   7.2404   0.9 -39.8103 54.2911  False
                         addition                             first   0.0624   0.9 -57.5627 57.6876  False
                         addition                              font   0.4026   0.9 -46.6481 47.4533  False
                         addition                             force   3.6866   0.9  -39.326 46.6991  False
                         addition                           forward    8.666   0.9 -35.7927 53.1248  False
                         addition                              free   0.5753   0.9 -54.0927 55.2433  False
                         addition                               get   0.6544   0.9 -42.1836 43.4925  False
                         addition                             ghost   0.7038   0.9 -61.5385  62.946  False
                         addition                              give   0.5308   0.9 -54.1372 55.1988  False
                         addition                              good   2.9878   0.9 -45.9841 51.9598  False
                         addition                            graham   9.7739   0.9 -52.4684 72.0161  False
                         addition                         grapevine   5.5791   0.9 -36.3001 47.4583  False
                         addition                              have   3.7176   0.9 -37.2328 44.6679  False
                         addition                           hawkins  15.4938   0.9 -46.7484 77.7361  False
                         addition                            hazard   4.0508   0.9 -42.5453 50.6469  False
                         addition                          hazelnut   5.2603   0.9  -45.819 56.3395  False
                         addition                              help   1.1148   0.9 -61.1275  63.357  False
                         addition                              hope   0.1771   0.9 -62.0652 62.4193  False
                         addition                               hot  24.7169   0.9 -37.5253 86.9592  False
                         addition         hypertext_markup_language    0.832   0.9 -50.2472 51.9113  False
                         addition                           include   0.8997   0.9 -53.7683 55.5677  False
                         addition                       independent   4.6655   0.9 -36.1446 45.4756  False
                         addition                            indian   5.0941   0.9 -40.4626 50.6507  False
                         addition                       information   5.5489   0.9 -35.2354 46.3333  False
                         addition                            intend   6.8339   0.9 -55.4084 69.0762  False
                         addition                        interested   1.5409   0.9 -56.0843  59.166  False
                         addition                            jobber   2.7037   0.9 -46.2682 51.6756  False
                         addition                          jonathan   9.9712   0.9 -35.8882 55.8305  False
                         addition                              just   3.6946   0.9 -48.9097 56.2989  False
                         addition                             karen  17.4331   0.9 -37.2349 72.1011  False
                         addition                              keep   0.1556   0.9 -62.0866 62.3979  False
                         addition                              know    0.606   0.9 -45.5969 46.8089  False
                         addition                             large   5.9906   0.9 -56.2517 68.2328  False
                         addition                             leave  -0.0427   0.9  -62.285 62.1995  False
                         addition                               let   8.1422   0.9 -40.8297 57.1142  False
                         addition                              link   0.0517   0.9 -52.5526  52.656  False
                         addition                          longhorn  12.1042   0.9  -50.138 74.3465  False
                         addition                              look    0.097   0.9  -54.571  54.765  False
                         addition                             lumen   8.1102   0.9 -44.4941 60.7145  False
                         addition                              make   3.8401   0.9 -37.2861 44.9662  False
                         addition                         mammogram   0.8099   0.9 -46.2408 47.8607  False
                         addition                            manner   9.6558   0.9  -32.473 51.7846  False
                         addition                              mark   3.4482   0.9 -39.9304 46.8268  False
                         addition                          medicare   7.4333   0.9 -40.1491 55.0157  False
                         addition                         megahertz   0.6997   0.9 -46.8827 48.2821  False
                         addition                             metro   3.5174   0.9 -40.9413 47.9762  False
                         addition                           michael  14.9782   0.9 -30.3097 60.2661  False
                         addition                        milliliter   4.5404   0.9 -36.4544 45.5353  False
                         addition                           million   4.6927   0.9  -36.155 45.5404  False
                         addition                           minutes   3.8712   0.9 -37.7715  45.514  False
                         addition                          misstate   2.1578   0.9 -43.7015 48.0172  False
                         addition                            mister   4.7413   0.9 -46.3379 55.8205  False
                         addition                    monetary_value   1.0893   0.9 -41.3925 43.5711  False
                         addition                             money   3.9064   0.9 -39.0448 46.8576  False
                         addition                              more   0.1601   0.9 -54.5079 54.8281  False
                         addition                            mortal   15.147   0.9 -35.9322 66.2262  False
                         addition                              much   -0.059   0.9 -57.6841 57.5662  False
                         addition                           natural    2.605   0.9  -52.063 57.2729  False
                         addition                       necessitate   0.8611   0.9 -46.1896 47.9118  False
                         addition                       negotiation   0.4225   0.9 -52.1819 53.0268  False
                         addition                               new   1.7335   0.9 -43.3141 46.7812  False
                         addition                              noon   4.7506   0.9 -38.3954 47.8967  False
                         addition                          northern  -0.0198   0.9  -62.262 62.2225  False
                         addition                           numbers   2.9762   0.9 -38.3329 44.2854  False
                         addition                             omaha   0.5785   0.9 -49.3263 50.4833  False
                         addition                                on   4.7013   0.9 -36.2486 45.6511  False
                         addition                       opportunity   0.0988   0.9 -54.5692 54.7668  False
                         addition                               owe   0.2324   0.9 -62.0098 62.4747  False
                         addition                            parent   1.2644   0.9 -53.4036 55.9324  False
                         addition                               pay     0.59   0.9 -49.3149 50.4948  False
                         addition                       performance   1.3303   0.9 -48.5745 51.2352  False
                         addition                            please   3.5444   0.9  -39.099 46.1877  False
                         addition                            plenty  15.2467   0.9 -46.9955  77.489  False
                         addition                     post_exchange   3.0251   0.9 -42.8342 48.8845  False
                         addition                         president   1.6388   0.9  -42.658 45.9356  False
                         addition                           problem   3.2354   0.9 -38.7104 45.1812  False
                         addition                          proclaim   2.7557   0.9 -40.9055 46.4169  False
                         addition                              pulp    1.165   0.9 -46.4173 48.7474  False
                         addition                               put   5.9235   0.9 -51.7017 63.5486  False
                         addition                        quadriceps   0.5536   0.9 -50.5256 51.6329  False
                         addition                             rates   3.8717   0.9 -37.8817 45.6251  False
                         addition                           receive  10.5854   0.9 -40.4938 61.6646  False
                         addition                       recognition    2.509   0.9 -55.1162 60.1341  False
                         addition                             refer   0.2247   0.9 -62.0176 62.4669  False
                         addition                             river     6.76   0.9 -44.3193 57.8392  False
                         addition                                ro    0.546   0.9 -61.6963 62.7882  False
                         addition                          rounders   1.5762   0.9 -53.0918 56.2442  False
                         addition                              send   0.9009   0.9 -43.3959 45.1977  False
                         addition                            series   3.4453   0.9  -49.159 56.0496  False
                         addition                              show   4.4775   0.9 -57.7647 66.7198  False
                         addition                               sit  -0.0207   0.9 -62.2629 62.2216  False
                         addition                              site   10.161   0.9 -32.7322 53.0541  False
                         addition                               sky   0.8364   0.9 -56.7887 58.4615  False
                         addition                          software   8.6233   0.9 -38.9591 56.2057  False
                         addition                          solution   3.3513   0.9 -38.5279 45.2305  False
                         addition                               sop   2.4445   0.9 -43.7584 48.6474  False
                         addition                             start   0.3733   0.9  -61.869 62.6155  False
                         addition                         stateroom   1.3802   0.9 -47.5917 50.3522  False
                         addition                             steak    8.381   0.9 -49.2441 66.0061  False
                         addition                             stout   0.2863   0.9 -57.3388 57.9115  False
                         addition                            system   5.1623   0.9  -35.677 46.0016  False
                         addition                              take   4.0833   0.9  -48.521 56.6876  False
                         addition                           thymine   2.0029   0.9 -49.0764 53.0821  False
                         addition                              time   5.3535   0.9 -36.1773 46.8843  False
                         addition                             title   1.8608   0.9 -41.8004  45.522  False
                         addition                             today    12.49   0.9 -32.1463 57.1262  False
                         addition                 topographic_point   1.7321   0.9 -40.2316 43.6958  False
                         addition                            travel   8.9567   0.9 -33.9365 51.8498  False
                         addition                            valley  11.3875   0.9 -41.2168 63.9918  False
                         addition                           verdict   0.2182   0.9 -50.8611 51.2974  False
                         addition                             video   0.7784   0.9  -46.804 48.3608  False
                         addition                         vitamin_e  11.2123   0.9 -31.1026 53.5272  False
                         addition                              week   5.6621   0.9 -35.1631 46.4872  False
                         addition                              well   -0.031   0.9 -62.2733 62.2112  False
                         addition                              will   7.6768   0.9 -33.5256 48.8792  False
